asins,ean,upc,dimension,weight,keys,product_id
"B01LYGPB3J,B011QHAOWO",,754000000000.0,8.1 in x 4.7 in x 3.8 in,1.8 lbs                                                                                      1.8 pounds,"slingboxm2/slm2,slingboxm2/b011qhaowo,753960014272,slingbox/sb375100,slingboxm2/8531135,slingboxm2/554328413,slingboxm2/b01lygpb3j,slingmedia/sb375100",AVpg8i6NilAPnD_xzQdN
"B01J0BFAAO,B019Q88VAM",,27242895300.0,10.3 x 4.2 x 5.4 inches,2.5 pounds,"sonyheargoportablebluetoothspeakerwithextrabass/b01j0bfaao,027242895300,sonyheargoportablebluetoothspeakerwithextrabass/1634464,sonyheargoportablebluetoothspeakerwithextrabass/sosrshg1blk,sonyheargoportablebluetoothspeakerwithextrabass/282547374236,sonyheargoportablebluetoothspeakerwithextrabass/192314904788,sonyheargoportablebluetoothspeakerwithextrabass/b019q88vam,sony/srshg1blk,sonyheargoportablebluetoothspeakerwithextrabass/4836819,sonysrshg1blkhireswirelessspeakercharcoalblack/b019q88vam",AVpfKRGKLJeJML433rPX
B004OVE61U,,46014740914.0,Inconnue,1.4 pounds,"midlandweatheralertradio10ct/5059000,046014740914,midland/wr120c,midlandweatheralertradio10ct/553440159,midlandweatheralertradio10ct/b004ove61u",AVpgswjcLJeJML43Ro-G
B007QOIP3M,,27242272927.0,Inconnue,6.2 ounces,"sony/dvm60prr6c,sonyminidigitalvideocassettesdvc1hour/b007qoip3m,027242272927,sonyminidigitalvideocassettesdvc1hour/201984471034,sonyminidigitalvideocassettesdvc1hour/322716983796,sonyminidigitalvideocassettesdvc1hour/7942845,sonyminidigitalvideocassettesdvc1hour/112548529547",AVpfjP9uilAPnD_xdy6-
B01ETTL6LE,27242896314.0,27242896314.0,3.35 in x 3.35 in x 11.8 in,3.5 lb,"srszr7wirelessspeaker/sosrszr7blk,027242896314,sonyzr7hireswirelessspeakerblack/b01ettl6le,sonyzr7hireswirelessspeakerblack/331871717904,sonysrszr7hiresolutionwirelessspeakerwithbluetoothwifi/b01ettl6le,sonyzr7hireswirelessspeakerblack/4890401,sonyzr7hireswirelessspeakerblack/564690217,sonyzr7hireswirelessspeakerblack/sosrszr7blk,sony/srszr7,0027242896314",AVpfgGwSLJeJML43-VCn
B009E6J1BU,,22265278338.0,Inconnue,2 ounces,"toshiba3tbinternalserialataiiiharddrivefordesktops/7479294,toshiba/ph3300u1i72,022265278338,oldmodeltoshiba3tbsata6gbs7200rpm35inte/b009e6j1bu",AV13V_i2glJLPUi8PFgb
B00B7C07LC,,709000000000.0,Inconnue,18.3 pounds,"poweracoustikgothicseries10dualvoicecoil2ohmsubwooferblack/552904673,poweracoustik/gw310,poweracoustikgothicseries10dualvoicecoil2ohmsubwooferblack/8927746,poweracoustikgothicseries10dualvoicecoil2ohmsubwooferblack/182119477700,709483046443,poweracoustikgothicseries10dualvoicecoil2ohmsubwooferblack/b00b7c07lc",AVpiEA1f1cnluZ0-JaoG
B01700RNIO,,847000000000.0,2.5 x 7.5 x 7.5 inches,15.2 ounces,"houseofmarleyrebelbtwirelessonearheadphonesblack/550703763,houseofmarley/emjh101bk,houseofmarleyrebelbluetoothonearheadphonesblack/b01700rnio,houseofmarleyrebelbtwirelessonearheadphonesblack/horebelbtbk,houseofmarleyrebelbtwirelessonearheadphonesblack/5688025,rebelbtonearwirelessbluetoothheadphonesblack/horebelbtbk,houseofmarleyrebelbtwirelessonearheadphonesblack/b01700rnio,846885007266",AVpivePGilAPnD_xHH0l
B005YXXS4I,,27108939599.0,7.1 in x 4.6 in x 12.5 in,6.5 lb,"yamaha40wmicrocomponentsystemblack/yacrx332bl,yamaha40wmicrocomponentsystemblack/2877396,yamaha40wmicrocomponentsystemblack/162508611472,yamaha40wmicrocomponentsystemblack/b005yxxs4i,yamaha/crx332bl,027108939599,crx322cdreceiver/yacrx332bl",AVpio2wSilAPnD_xGGln
B00U0VEGRM,,752000000000.0,7 in x 17.3 in x 5 in,13.2 pounds,"dreamwavetremorarmygreenblackaluminumwireless50wruggedoutdoorbluetoothspeaker/b00u0vegrm,dreamwave/tremor,752423791996,dreamwavetremorportablebluetoothspeakergreenblack/5436508",AVpfVJXu1cnluZ0-iwTT
"B00Q397RJY,B005LKCDR2,B001447Z8Q",793000000000.0,793000000000.0,3 5/8 in 2 3/4 in 7 5/8 in,7 pounds,"793276012944,glengery/alpine,0793276012944,alpine/282611072502,alpine/b001447z8q,alpine/302431154490,alpine/292217711461,alpine/b005lkcdr2,alpine/121935848708,alpine/alpine,alpine/9254006,alpine/b00q397rjy",AVpe7vI_ilAPnD_xRMq2
B06XVDYHQX,,884000000000.0,7.1 in x 15.3 in x 14.0 in,22.0 lb,"xps8920towerdesktopcomputer/201955397698,dell/xps89207529slvpus,xps8920towerdesktopcomputer/dex89207529s,xps8920towerdesktopcomputer/b06xvdyhqx,xps8920towerdesktopcomputer/5775301,884116255529",AVwvGPRyU2_QcyX9R3FW
B008FH1PJA,,736000000000.0,Inconnue,3.88 oz,"meelectronicsairfirunawaybluetoothwirelessonearheadphoneswhitegray/8826499,airfirunawayaf32stereobluetoothwirelessheadphoneswithhiddenmicrophonewhite/meaf32btwhmw,meeaudiorunaway40bluetoothstereowirelesswiredheadphoneswithmicrophonewhite/b008fh1pja,meelectronics/hpaf32gwmee,736211201263,0736211201263,meeaudiorunaway40bluetoothstereowirelesswiredheadphoneswithmicrophone/563477858,meeaudio/hpaf32gwmee",AVpftC_FLJeJML43CLs8
